Epoch	Train Loss	Validation Loss
0	2.4999073831665153	2.301967607644781
1	2.268538889066483	2.2335918375463
2	2.221623177526005	2.2089211928290613
3	2.1998508722223424	2.195934749153087
4	2.1862477563274783	2.186191302709319
5	2.1759831999171886	2.178272593194936
6	2.1673674855719995	2.1714708975885175
7	2.159761093876423	2.1655225997950045
8	2.152867362869003	2.160268166690454
9	2.1464983311794565	2.1555404183324254
10	2.1404964581317207	2.1512365130233593
11	2.1347518183105083	2.1472934437074747
12	2.12920139170277	2.143590914608146
13	2.1238123867497762	2.1399596555158498
14	2.1185630988972934	2.136336786881234
15	2.1134417163886217	2.1327393890218573
16	2.1084448924759966	2.129244178985088
17	2.1035771211515932	2.125870874684537
18	2.098847594367664	2.1225457578094034
19	2.0942498110554206	2.1193019432237334
20	2.089773251470435	2.1161524234026254
21	2.0853978943647387	2.1130525612335926
22	2.0811172054016556	2.1100808850980326
23	2.07693440930813	2.1072591763548822
24	2.072864411072307	2.1045247968505882
25	2.068909196757331	2.101966816477349
26	2.0650661462622235	2.099562043885384
27	2.0613497616638154	2.097234306580673
28	2.057751690638205	2.09493088786732
29	2.0542679551852547	2.0927052819055567
30	2.050887944410426	2.090625864645636
31	2.0475924432655055	2.088642232371916
32	2.0443775466141907	2.0868069632647064
33	2.0412612179728797	2.085145746636332
34	2.038246265062398	2.0835239890528645
35	2.0353158552591752	2.081884534180795
36	2.0324749574487964	2.080440652845153
37	2.0297285316373146	2.0791189972155593
38	2.027073384299219	2.07775158010069
39	2.024480547197617	2.0763608823615405
40	2.021940683911111	2.0751791087242673
41	2.019472983863145	2.074047577708168
42	2.0170671805103093	2.072891420713679
43	2.014717851090969	2.071836028351615
44	2.0124386665984257	2.070765585537416
45	2.0102185004190067	2.0697070168756753
46	2.008080186217854	2.0685702400082837
47	2.0059979492939224	2.06742963466186
48	2.003970551822991	2.0664599667928276
49	2.0019744153228345	2.0656562979658832
50	2.0000131926202083	2.0651163872895797
51	1.9981290499429005	2.0644249226851756
52	1.996286775384376	2.0639082525824657
53	1.9944764890748778	2.0632498204107526
54	1.9927168760312701	2.0624068042524843
55	1.9909852529750667	2.061974151675622
56	1.9892946449790243	2.061601536048745
57	1.98767003825736	2.060980545891024
58	1.9860725615483426	2.060628539708287
59	1.984493079856197	2.0602609297016263
