Epoch	Train Loss	Validation Loss
0	3.0505194213231737	2.7575508079624793
1	2.635291100818107	2.5539075326653884
2	2.509561781012981	2.4758536519248393
3	2.4541883992645697	2.4381246573842748
4	2.4263305339060923	2.4179130314088058
5	2.410574162482241	2.405671482725507
6	2.400411336260041	2.3973490260857457
7	2.3930576035865707	2.3911241184403194
8	2.3872768019180812	2.386133265203919
9	2.382496076711626	2.381949852745495
10	2.3784305381640243	2.3783543294438947
11	2.374912836531432	2.3752173165562427
12	2.3718168511078215	2.372440757312679
13	2.3690323237440136	2.3699383978263926
14	2.3664633719900445	2.367634623174741
15	2.364029390615478	2.365464384687795
16	2.361663387689353	2.363370237192561
17	2.3593101953872186	2.3613019569476332
18	2.35692499166933	2.359214530165336
19	2.354472546190679	2.3570693274106933
20	2.35192605019079	2.3548351227615822
21	2.3492689413173347	2.352488154524269
22	2.3464958962722147	2.35001399803513
23	2.3436158242973875	2.3474171900057175
24	2.3406596993488624	2.3447330741478245
25	2.3376881950933335	2.342034062042586
26	2.3347864244517282	2.339407666702437
27	2.332036716679769	2.3369258215676356
28	2.329496574245655	2.334631968863271
29	2.327195694374482	2.332548237183298
30	2.3251390750765966	2.3306762635365055
31	2.3233095435006783	2.328999423691474
32	2.3216754546726226	2.3274885221383794
33	2.320201978800319	2.3261125555169575
34	2.3188594872438584	2.3248453002388234
35	2.3176246564490866	2.3236659216375166
36	2.316479903572604	2.3225581972419915
37	2.3154106037389997	2.32150994913986
38	2.3144048093101635	2.3205127999443618
39	2.3134525896056037	2.319559419546129
40	2.3125458292255043	2.3186464155110245
41	2.311672941468639	2.3177685910617596
42	2.3108267997329115	2.3168923586499854
43	2.3099993059487254	2.31607620853537
44	2.3092121086785444	2.3152930691881113
45	2.308457175005148	2.314544028216219
46	2.307733507224985	2.313829729398063
47	2.307040693444925	2.3131505631419245
48	2.3063780987260807	2.312505883351236
49	2.30574516474723	2.3118948922803897
50	2.3051410176056155	2.311316529629815
51	2.3045643588715263	2.310768929188154
52	2.3040138003128323	2.3102506383878563
53	2.303487730344587	2.3097596733005332
54	2.3029846009350687	2.3092939006273134
55	2.302502653717193	2.3088514777769467
56	2.3020405859453	2.3084303888333606
57	2.301596844813921	2.308028861253618
58	2.301169851914855	2.307645094631431
59	2.300758685708435	2.3072772608192853
